dataset,source,note,rows,positive_rate,used_source_columns,model,threshold_0_50_precision,threshold_0_50_recall,threshold_0_50_f1,threshold_0_50_f2,threshold_0_50_balanced_accuracy,roc_auc,pr_auc,best_f2_threshold,validation_best_f2,best_f2_precision,best_f2_recall,best_f2,best_f2_predicted_positive_rate,best_f1_threshold,validation_best_f1,best_f1
give_me_some_credit,local Kaggle Give Me Some Credit,"Credit-risk, imbalance mạnh, target rõ.",150000,0.06684,10,LogReg_balanced,0.17621655782599538,0.6675977653631285,0.2788333333333333,0.4285787478225228,0.7220511544995902,0.7989366641395736,0.31972605661131365,0.55,0.44239438096236505,0.2464254192409532,0.5570630486831604,0.4448976990247944,0.15106666666666665,0.65,0.38335517693315857,0.3901195843952166
give_me_some_credit,local Kaggle Give Me Some Credit,"Credit-risk, imbalance mạnh, target rõ.",150000,0.06684,10,RandomForest_balanced,0.5798816568047337,0.1564245810055866,0.24638592080452545,0.18317757009345795,0.5741544520161956,0.8405151235366264,0.35178443959508154,0.1,0.5013695949911955,0.24514178782208149,0.6795690343176377,0.5017382593836545,0.18525333333333333,0.2,0.4138684138684139,0.41363258520365753
give_me_some_credit,local Kaggle Give Me Some Credit,"Credit-risk, imbalance mạnh, target rõ.",150000,0.06684,10,EasyEnsemble_s6,0.1910067648229208,0.7661612130885874,0.30578117534639276,0.4781829049611476,0.7668892594562216,0.8547607705272562,0.36849658939373,0.55,0.4990435467536852,0.32172219818260495,0.5933758978451716,0.5076471391506213,0.12325333333333334,0.6,0.43013775653640707,0.42881587953456535
give_me_some_credit,local Kaggle Give Me Some Credit,"Credit-risk, imbalance mạnh, target rõ.",150000,0.06684,10,BalanceCascade_s2_a10,0.22626770819541903,0.6819632881085395,0.3397952082711999,0.48614666894236785,0.7574816154779423,0.8323511484650361,0.33989896810913955,0.55,0.48575788402848424,0.25742733258390876,0.6396648044692738,0.49320041843578855,0.16605333333333333,0.6,0.4251398486344192,0.4085978304539976
give_me_some_credit,local Kaggle Give Me Some Credit,"Credit-risk, imbalance mạnh, target rõ.",150000,0.06684,10,BalanceCascade_s6_a25,0.0668444918644972,1.0,0.1253125312531253,0.2637117481163447,0.500142881636852,0.7589304672044794,0.3195280552570999,0.55,0.34123965092861935,0.10232796111537477,0.7980845969672785,0.3381920254320403,0.5212,0.6,0.2983910287664554,0.2973999415717207
give_me_some_credit,local Kaggle Give Me Some Credit,"Credit-risk, imbalance mạnh, target rõ.",150000,0.06684,10,BalanceCascade_s8_a25,0.0668444918644972,1.0,0.1253125312531253,0.2637117481163447,0.500142881636852,0.7589304672044794,0.3195280552570999,0.55,0.34123965092861935,0.10232796111537477,0.7980845969672785,0.3381920254320403,0.5212,0.6,0.2983910287664554,0.2973999415717207
sklearn_breast_cancer,sklearn built-in Breast Cancer Wisconsin,"Medical binary case, ít imbalance hơn.",569,0.37258347978910367,30,LogReg_balanced,0.9803921568627451,0.9433962264150944,0.9615384615384616,0.9505703422053232,0.9661425576519916,0.9970649895178197,0.995452133212686,0.8,0.9493670886075949,1.0,0.9056603773584906,0.9230769230769231,0.3356643356643357,0.8,0.967741935483871,0.9504950495049505
sklearn_breast_cancer,sklearn built-in Breast Cancer Wisconsin,"Medical binary case, ít imbalance hơn.",569,0.37258347978910367,30,RandomForest_balanced,1.0,0.9245283018867925,0.9607843137254902,0.9386973180076629,0.9622641509433962,0.9966457023060796,0.9948055965068028,0.4,0.9627329192546584,0.9803921568627451,0.9433962264150944,0.9505703422053232,0.35664335664335667,0.5,0.967741935483871,0.9607843137254902
sklearn_breast_cancer,sklearn built-in Breast Cancer Wisconsin,"Medical binary case, ít imbalance hơn.",569,0.37258347978910367,30,EasyEnsemble_s6,0.9803921568627451,0.9433962264150944,0.9615384615384616,0.9505703422053232,0.9661425576519916,0.9926624737945493,0.991418304716113,0.45,0.9281437125748503,0.896551724137931,0.9811320754716981,0.9629629629629629,0.40559440559440557,0.55,0.9180327868852459,0.9292929292929293
sklearn_breast_cancer,sklearn built-in Breast Cancer Wisconsin,"Medical binary case, ít imbalance hơn.",569,0.37258347978910367,30,BalanceCascade_s2_a10,0.9787234042553191,0.8679245283018868,0.92,0.888030888030888,0.9284067085953879,0.9883647798742139,0.9833892077934995,0.45,0.9146341463414634,0.8909090909090909,0.9245283018867925,0.9176029962546817,0.38461538461538464,0.5,0.9206349206349206,0.92
sklearn_breast_cancer,sklearn built-in Breast Cancer Wisconsin,"Medical binary case, ít imbalance hơn.",569,0.37258347978910367,30,BalanceCascade_s6_a25,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9550314465408805,0.9941299790356394,0.9908543561832361,0.55,0.9235668789808917,1.0,0.8867924528301887,0.9073359073359073,0.32867132867132864,0.55,0.9508196721311475,0.94
sklearn_breast_cancer,sklearn built-in Breast Cancer Wisconsin,"Medical binary case, ít imbalance hơn.",569,0.37258347978910367,30,BalanceCascade_s8_a25,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9550314465408805,0.9941299790356394,0.9908543561832361,0.55,0.9235668789808917,1.0,0.8867924528301887,0.9073359073359073,0.32867132867132864,0.55,0.9508196721311475,0.94
uci_default_credit,local UCI Default of Credit Card Clients,"Credit-risk, dễ giải thích, imbalance vừa.",30000,0.2212,23,LogReg_balanced,0.36695059625212945,0.6491862567811935,0.46887244231606445,0.5626371330059555,0.6655450201899462,0.7169446841191103,0.5003546257014249,0.15,0.5868966343274644,0.22537931034482758,0.9849306811332128,0.58836237937491,0.9666666666666667,0.55,0.5112851220635651,0.502495840266223
uci_default_credit,local UCI Default of Credit Card Clients,"Credit-risk, dễ giải thích, imbalance vừa.",30000,0.2212,23,RandomForest_balanced,0.6515986769570011,0.3562386980108499,0.460639127045986,0.39175394405408986,0.6510691863620419,0.7603311132596694,0.5365338423145712,0.1,0.6314699792960663,0.27608047690014903,0.8933092224231465,0.617294235254915,0.7157333333333333,0.3,0.5491135601341639,0.5280604826984588
uci_default_credit,local UCI Default of Credit Card Clients,"Credit-risk, dễ giải thích, imbalance vừa.",30000,0.2212,23,EasyEnsemble_s6,0.4807497467071935,0.5720313441832429,0.5224332507569501,0.5511033681765389,0.6982738470616607,0.7614886722374385,0.5284591469433375,0.4,0.6316461080391322,0.2878787878787879,0.8818565400843882,0.6242532855436081,0.6776,0.5,0.5302491103202847,0.5224332507569501
uci_default_credit,local UCI Default of Credit Card Clients,"Credit-risk, dễ giải thích, imbalance vừa.",30000,0.2212,23,BalanceCascade_s2_a10,0.21957709004341128,0.9451476793248945,0.3563636363636364,0.5690643826667634,0.49551511684101257,0.7073573878980446,0.4899232529992129,0.05,0.5866745283018868,0.2212,1.0,0.5867996604414262,1.0,0.6,0.48629032258064514,0.4709316468012649
uci_default_credit,local UCI Default of Credit Card Clients,"Credit-risk, dễ giải thích, imbalance vừa.",30000,0.2212,23,BalanceCascade_s6_a25,0.21905740713551608,0.8993369499698614,0.35230224321133413,0.5547705807986911,0.4943526044148228,0.6677942469618076,0.48658276570920145,0.05,0.5866745283018868,0.2212,1.0,0.5867996604414262,1.0,0.6,0.48936170212765956,0.46311787072243343
uci_default_credit,local UCI Default of Credit Card Clients,"Credit-risk, dễ giải thích, imbalance vừa.",30000,0.2212,23,BalanceCascade_s8_a25,0.21905740713551608,0.8993369499698614,0.35230224321133413,0.5547705807986911,0.4943526044148228,0.6677942469618076,0.48658276570920145,0.05,0.5866745283018868,0.2212,1.0,0.5867996604414262,1.0,0.6,0.48936170212765956,0.46311787072243343
landslide_large_event,local NASA landslide catalog,"Real-world spatial/event data, nhưng target là nhóm tự tạo.",1693,0.05020673360897814,12,LogReg_balanced,0.20588235294117646,0.6666666666666666,0.3146067415730337,0.4605263157894737,0.7663358147229115,0.7769112607822285,0.42268938156964053,0.8,0.6153846153846154,0.5263157894736842,0.47619047619047616,0.4854368932038835,0.04481132075471698,0.8,0.6153846153846154,0.5
landslide_large_event,local NASA landslide catalog,"Real-world spatial/event data, nhưng target là nhóm tự tạo.",1693,0.05020673360897814,12,RandomForest_balanced,0.0,0.0,0.0,0.0,0.5,0.8442632636181022,0.5864802602543095,0.1,0.5,0.3,0.7142857142857143,0.5597014925373134,0.1179245283018868,0.25,0.45454545454545453,0.5454545454545454
landslide_large_event,local NASA landslide catalog,"Real-world spatial/event data, nhưng target là nhóm tự tạo.",1693,0.05020673360897814,12,EasyEnsemble_s6,0.25862068965517243,0.7142857142857143,0.379746835443038,0.528169014084507,0.8037929812123361,0.8613375871440389,0.45968725539243704,0.65,0.5,0.6,0.42857142857142855,0.45454545454545453,0.03537735849056604,0.65,0.5714285714285714,0.5
landslide_large_event,local NASA landslide catalog,"Real-world spatial/event data, nhưng target là nhóm tự tạo.",1693,0.05020673360897814,12,BalanceCascade_s2_a10,0.04975124378109453,0.9523809523809523,0.09456264775413711,0.205761316872428,0.5022450667611957,0.7440623892236795,0.4440419990068793,0.6,0.4918032786885246,0.6,0.42857142857142855,0.45454545454545453,0.03537735849056604,0.6,0.5454545454545454,0.5
landslide_large_event,local NASA landslide catalog,"Real-world spatial/event data, nhưng target là nhóm tự tạo.",1693,0.05020673360897814,12,BalanceCascade_s6_a25,0.059027777777777776,0.8095238095238095,0.11003236245954692,0.22849462365591397,0.5685336169207137,0.6947300011816141,0.34371923874633675,0.55,0.4,0.12643678160919541,0.5238095238095238,0.3216374269005848,0.20518867924528303,0.6,0.42105263157894735,0.27586206896551724
landslide_large_event,local NASA landslide catalog,"Real-world spatial/event data, nhưng target là nhóm tự tạo.",1693,0.05020673360897814,12,BalanceCascade_s8_a25,0.059027777777777776,0.8095238095238095,0.11003236245954692,0.22849462365591397,0.5685336169207137,0.6947300011816141,0.34371923874633675,0.55,0.4,0.12643678160919541,0.5238095238095238,0.3216374269005848,0.20518867924528303,0.6,0.42105263157894735,0.27586206896551724
