,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
RevolvingUtilizationOfUnsecuredLines,1.0,-0.005898182986468399,-0.00131350096325221,0.0039612049761635045,0.0071238906465639126,-0.011280732694152607,-0.0010612463781356047,0.006234713423841765,-0.0010478272157644843,0.0015573444607284543,-0.0018015025039439922
age,-0.005898182986468399,1.0,-0.06299515780108579,0.024187804139156974,0.03771738678953459,0.14770531827119088,-0.06100470827606269,0.033150272947223995,-0.05715946429910923,-0.21330257804499517,-0.11538551846889271
NumberOfTime30-59DaysPastDueNotWorse,-0.00131350096325221,-0.06299515780108579,1.0,-0.0065419227904729245,-0.01021736063042477,-0.05531223617424451,0.983602681282063,-0.030564534653275847,0.9870054474799475,-0.0026804493936820133,0.1255869645728613
DebtRatio,0.0039612049761635045,0.024187804139156974,-0.0065419227904729245,1.0,-0.028712267527545892,0.0495652863150717,-0.00831964010681898,0.12004602812505023,-0.007533099309334757,-0.04067269774184223,-0.007602119826456171
MonthlyIncome,0.0071238906465639126,0.03771738678953459,-0.01021736063042477,-0.028712267527545892,1.0,0.09145465769828164,-0.012742849255039004,0.12495896109477574,-0.011115549123717391,0.06264727022223648,-0.019745546771059625
NumberOfOpenCreditLinesAndLoans,-0.011280732694152607,0.14770531827119088,-0.05531223617424451,0.0495652863150717,0.09145465769828164,1.0,-0.07998434978061912,0.4339586030553195,-0.07107673495851058,0.06532207034550475,-0.029668568469317813
NumberOfTimes90DaysLate,-0.0010612463781356047,-0.06100470827606269,0.983602681282063,-0.00831964010681898,-0.012742849255039004,-0.07998434978061912,1.0,-0.04520521645548576,0.9927961825916153,-0.010175866940909382,0.11717461344361955
NumberRealEstateLoansOrLines,0.006234713423841765,0.033150272947223995,-0.030564534653275847,0.12004602812505023,0.12495896109477574,0.4339586030553195,-0.04520521645548576,1.0,-0.03972233236685699,0.12468428521270526,-0.007038116335983374
NumberOfTime60-89DaysPastDueNotWorse,-0.0010478272157644843,-0.05715946429910923,0.9870054474799475,-0.007533099309334757,-0.011115549123717391,-0.07107673495851058,0.9927961825916153,-0.03972233236685699,1.0,-0.01092199766985459,0.10226086105037567
NumberOfDependents,0.0015573444607284543,-0.21330257804499517,-0.0026804493936820133,-0.04067269774184223,0.06264727022223648,0.06532207034550475,-0.010175866940909382,0.12468428521270526,-0.01092199766985459,1.0,0.04604794352217075
SeriousDlqin2yrs,-0.0018015025039439922,-0.11538551846889271,0.1255869645728613,-0.007602119826456171,-0.019745546771059625,-0.029668568469317813,0.11717461344361955,-0.007038116335983374,0.10226086105037567,0.04604794352217075,1.0
