model,threshold,runtime_seconds,precision,recall,f1,f2,balanced_accuracy,roc_auc,pr_auc,tn,fp,fn,tp,seed,validation_precision,validation_recall,validation_f2
BalanceCascade_simple,0.55,0.6840529999972205,0.12309130570271112,0.7877941763063422,0.21291504959034066,0.37874429486441913,0.6928568801115628,0.778550934986131,0.3321446064687988,20923,14070,532,1975,11,0.11872099020113461,0.7652925531914894,0.3663038635351028
BalanceCascade_tuned,0.5,0.2113134999963222,0.2198980258857367,0.670921420023933,0.3312327688066168,0.47575946144707815,0.7502008008872845,0.7849134303469046,0.3007244054673813,29026,5967,825,1682,11,0.22361202545534342,0.6775265957446809,0.48188782748510356
EasyEnsemble_simple,0.55,1.3792482919961913,0.3006852075775897,0.5951336258476266,0.39951800776543045,0.49766511007338227,0.7479854680834166,0.851939331965772,0.35824519646226255,31523,3470,1015,1492,11,0.2913907284768212,0.5851063829787234,0.4869411243913236
LogReg_balanced,0.6,0.10739124999963678,0.3177673390439348,0.45871559633027525,0.3754489063010121,0.42133802300871986,0.6940793138968554,0.7892469655820731,0.3052616766524506,32524,2469,1357,1150,11,0.3260373917008664,0.4753989361702128,0.4354976245584115
RandomForest_balanced,0.1,30.15536341600091,0.2510133613571536,0.6669325887514959,0.3647469458987784,0.5009287554676733,0.7621806086671776,0.8395434628552014,0.3468560856119641,30004,4989,835,1672,11,0.24818795301174706,0.6602393617021277,0.49565738244983526
BalanceCascade_simple,0.55,0.8683339999988675,0.10124120044460912,0.8719585161547666,0.18141831611270176,0.3456672991777356,0.658695229843165,0.8142550613946369,0.3513897644158208,15587,19406,321,2186,23,0.10108888717275465,0.870345744680851,0.3451094120748748
BalanceCascade_tuned,0.55,0.25733829199452884,0.26183953033268104,0.5337056242520941,0.35131941709334386,0.44193420531113753,0.7129563185416159,0.717183849328986,0.28412415981661987,31221,3772,1169,1338,23,0.25452749423773463,0.5139627659574468,0.42693029934828236
EasyEnsemble_simple,0.55,1.4411917500037816,0.30939342881213144,0.5859593139210212,0.4049620951068229,0.4970898754737412,0.7461274293721358,0.85298419875439,0.3669669175930843,31714,3279,1038,1469,23,0.29965870307167236,0.5837765957446809,0.4907221104404203
LogReg_balanced,0.5,0.11817162499937695,0.17994166479694862,0.639808536098923,0.28088608703265916,0.4233977404709112,0.7154548067286259,0.7921229011885915,0.3076801374195991,27683,7310,903,1604,23,0.17828020756115642,0.6396276595744681,0.42148615492464075
RandomForest_balanced,0.1,16.62853479199839,0.25208397653596787,0.6513761467889908,0.36349471341124096,0.49466860535562823,0.7564599420539415,0.8396892040098144,0.3459723215945168,30148,4845,874,1633,23,0.2465857359635812,0.6482712765957447,0.4889669007021063
BalanceCascade_simple,0.55,0.6572977500036359,0.10232796111537477,0.7980845969672785,0.18139766903995283,0.3381920254320403,0.6483564666267495,0.7589304672044794,0.3195280552570999,17449,17545,506,2000,42,0.10286677908937605,0.8111702127659575,0.34123965092861935
BalanceCascade_tuned,0.55,0.2058088750054594,0.25742733258390876,0.6396648044692738,0.36711324859727473,0.49320041843578855,0.7537639333542574,0.8323511484650361,0.33989896810913955,30370,4624,903,1603,42,0.2503932878867331,0.6349734042553191,0.48575788402848424
EasyEnsemble_simple,0.55,1.2459974170051282,0.32172219818260495,0.5933758978451716,0.4172278338945006,0.5076471391506213,0.7518945557694738,0.8547607705272562,0.36849658939373,31859,3135,1019,1487,42,0.30895158481365376,0.5897606382978723,0.4990435467536852
LogReg_balanced,0.55,0.0945045830012532,0.2464254192409532,0.5570630486831604,0.3416962428099376,0.4448976990247944,0.7175353535694478,0.7989366641395736,0.31972605661131365,30725,4269,1110,1396,42,0.23956854953164916,0.5611702127659575,0.44239438096236505
RandomForest_balanced,0.1,11.241059041996778,0.24779541446208111,0.6727853152434158,0.36219119226638025,0.5009507962918944,0.763265835880838,0.8429470248713482,0.35495840856038685,29876,5118,820,1686,42,0.24555074555074555,0.6788563829787234,0.5017692156477295
BalanceCascade_simple,0.55,0.6600593330003903,0.10157556107198946,0.7997606701236538,0.18025712487638226,0.3367823428629019,0.6464867992117997,0.7577542290610951,0.3231668734809128,17259,17734,502,2005,58,0.1018969279838845,0.8071808510638298,0.3385387618516453
BalanceCascade_tuned,0.5,0.20152516600501258,0.22873216245883643,0.6649381731152773,0.34037774374680957,0.48134673134673134,0.7521530233449961,0.7730794891099708,0.30792551491918596,29372,5621,840,1667,58,0.21837488457987073,0.6289893617021277,0.45709315809818324
EasyEnsemble_simple,0.55,1.218978208002227,0.3310657596371882,0.5823693657758277,0.42214833020095416,0.5056101953179111,0.7490333954875766,0.8528938507514597,0.3696708295478088,32043,2950,1047,1460,58,0.3124762988244217,0.5478723404255319,0.4761354443545591
LogReg_balanced,0.55,0.10227670799940825,0.24862081647664583,0.5392899880335061,0.34033983637507864,0.4370878055088581,0.711261888824286,0.7923109723089982,0.3120230569839525,30907,4086,1155,1352,58,0.23577481840193704,0.5179521276595744,0.4179184549356223
RandomForest_balanced,0.1,9.80883616599749,0.25497342444950644,0.6697247706422018,0.3693356797184338,0.5053271534340577,0.7647626510885401,0.8433994565737467,0.35558574995223813,30087,4906,828,1679,58,0.2360872762932091,0.6402925531914894,0.4769687964338782
BalanceCascade_simple,0.55,0.6809392499999376,0.11156532106966445,0.7841181165203511,0.1953377404443561,0.35550168252704706,0.6684778729141163,0.7656620795237455,0.3440333252638126,19346,15648,541,1965,91,0.1100891060649612,0.7639627659574468,0.3491764419862639
BalanceCascade_tuned,0.5,0.20980175000295276,0.22564913668116515,0.6831604150039904,0.3392450213018924,0.4860598489580376,0.7576372458514264,0.8039344026642168,0.3318384868735651,29119,5875,794,1712,91,0.22121212121212122,0.6795212765957447,0.4804437758555848
EasyEnsemble_simple,0.55,1.7018415839993395,0.3093856313788273,0.6169193934557063,0.41210182593629213,0.5146128753079022,0.759151243850217,0.8554216123516512,0.37255411094362223,31543,3451,960,1546,91,0.3023413640990838,0.5924202127659575,0.4970434006471048
LogReg_balanced,0.55,0.09949420799966902,0.24562353365818446,0.5430965682362331,0.3382627065987324,0.4371988435592676,0.7118237599139672,0.7978851442370168,0.3185186020521491,30814,4180,1145,1361,91,0.2440668033987694,0.5538563829787234,0.4417223459539718
RandomForest_balanced,0.1,10.664441583001462,0.2558209403635271,0.6795690343176377,0.3717123212921532,0.5104610035369582,0.7690009542623223,0.8475868580093151,0.3591002398404089,30040,4954,803,1703,91,0.25205274944015926,0.6735372340425532,0.5047334329845541
